Workflow Name,Document Type,Workflow State Field,Is Active,Don't Override Status,Send Email Alert,ID (Document States),State (Document States),Only Allow Edit For (Document States),Doc Status (Document States),Update Field (Document States),Update Value (Document States),Is Optional State (Document States),Next Action Email Template (Document States),Message (Document States),ID (Transitions),State (Transitions),Action (Transitions),Next State (Transitions),Allowed (Transitions),Allow Self Approval (Transitions),Condition (Transitions)
New Secondary Customer Workflow,Secondary Customer Form,workflow_state,1,0,0,3a9b93b73e,Pending For Secondary Customer Additional Details,Area Sales Manager,0,,Pending For Secondary Customer Additional Details,0,,,692504313d,Pending For Secondary Customer Additional Details,Send For NSM Approval,Pending for NSM Approval,Area Sales Manager,1,doc.distributor_email_id != None
,,,,,,2ad300ce34,Pending For Secondary Customer Additional Details,Regional Sales Manager,0,,Pending For Secondary Customer Additional Details,0,,,504d8c39c1,Pending For Secondary Customer Additional Details,Send For NSM Approval,Pending for NSM Approval,Regional Sales Manager,1,doc.distributor_email_id != None
,,,,,,efd3a78f14,Pending for NSM Approval,National Sales Manager,0,,Pending for NSM Approval,0,,,a70841b8bb,Pending For Secondary Customer Additional Details,Reject Customer,Rejected by ASM,Area Sales Manager,1,doc.reason_of_rejection
,,,,,,1e031c121f,Resent for NSM Approval,National Sales Manager,0,,Resent for NSM Approval,0,,,73124c43b6,Pending For Secondary Customer Additional Details,Reject Customer,Rejected by RSM,Regional Sales Manager,1,doc.reason_of_rejection
,,,,,,a9707d3f33,Pending with Secondary Master Processing,Secondary Customer Master Approver,0,,Pending with Secondary Master Processing,0,,,793d3d9ccc,Pending for NSM Approval,Approve Customer,Pending for RTM Approval,National Sales Manager,1,
,,,,,,4523556960,Resent for Secondary Master Processing,Secondary Customer Master Approver,0,,Resent for Secondary Master Processing,0,,,ab6d3d0dd8,Pending for RTM Approval,Approve Customer,Pending with Secondary Master Processing,RTM Manager,1,
,,,,,,017ebafa9e,Secondary Customer Approved,Secondary Customer Master Approver,0,,Secondary Customer Approved,0,,,0540f8b7b8,Pending for RTM Approval,Reject Customer,Rejected by RTM,RTM Manager,1,doc.reason_of_rejection
,,,,,,268482d4da,Rejected by ASM,Administrator,0,,Rejected by ASM,0,,,709aad37f2,Pending for RTM Approval,Request for More Details,Requested for More Details by RTM,RTM Manager,1,
,,,,,,eb1d2bd3cf,Rejected by RSM,Administrator,0,,Rejected by RSM,0,,,e388fd7a89,Requested for More Details by RTM,Resend for RTM Approval,Resent for RTM Approval,National Sales Manager,1,
,,,,,,4000184084,Rejected by NSM,Administrator,0,,Rejected by NSM,0,,,38cdd81130,Resent for RTM Approval,Approve Customer,Pending with Secondary Master Processing,RTM Manager,1,
,,,,,,f7ca1ed772,Requested for More Details by NSM,Area Sales Manager,0,,Requested for More Details by NSM,0,,,ed2ecf0fbe,Resent for RTM Approval,Reject Customer,Rejected by RTM,RTM Manager,1,doc.reason_of_rejection
,,,,,,275944128c,Requested for More Details by Secondary Master Team,Area Sales Manager,0,,Requested for More Details by Secondary Master Team,0,,,5de321c9c9,Resent for RTM Approval,Request for More Details,Requested for More Details by RTM,RTM Manager,1,
,,,,,,245fa5d2b2,Pending for RTM Approval,RTM Manager,0,,Pending for RTM Approval,0,,,a000ddbdb3,Pending for NSM Approval,Reject Customer,Rejected by NSM,National Sales Manager,1,doc.reason_of_rejection
,,,,,,2891f2f4e6,Rejected by RTM,Administrator,0,,Rejected by RTM,0,,,8d8b25dd16,Pending for NSM Approval,Request for More Details,Requested for More Details by NSM,National Sales Manager,1,
,,,,,,4a8c9081c0,Requested for More Details by RTM,National Sales Manager,0,,Requested for More Details by RTM,0,,,38955d51ee,Requested for More Details by NSM,Resend for NSM Approval,Resent for NSM Approval,Area Sales Manager,1,
,,,,,,6a5f3d8868,Resent for RTM Approval,RTM Manager,0,,Resent for RTM Approval,0,,,16f4d37935,Requested for More Details by NSM,Resend for NSM Approval,Resent for NSM Approval,Regional Sales Manager,1,
,,,,,,,,,,,,,,,d6514bde3a,Resent for NSM Approval,Approve Customer,Pending for RTM Approval,National Sales Manager,1,
,,,,,,,,,,,,,,,ef7bf874be,Resent for NSM Approval,Reject Customer,Rejected by NSM,National Sales Manager,1,doc.reason_of_rejection
,,,,,,,,,,,,,,,62be2a3413,Resent for NSM Approval,Request for More Details,Requested for More Details by NSM,National Sales Manager,1,
,,,,,,,,,,,,,,,b2fee715bf,Pending with Secondary Master Processing,Approve Customer,Secondary Customer Approved,Secondary Customer Master Approver,1,doc.db_code
,,,,,,,,,,,,,,,a44662fe5c,Pending with Secondary Master Processing,Request for More Details,Requested for More Details by Secondary Master Team,Secondary Customer Master Approver,1,
,,,,,,,,,,,,,,,15873cf0fa,Requested for More Details by Secondary Master Team,Resend for Secondary Master Processing,Resent for Secondary Master Processing,Area Sales Manager,1,
,,,,,,,,,,,,,,,b61a31271f,Requested for More Details by Secondary Master Team,Resend for Secondary Master Processing,Resent for Secondary Master Processing,Regional Sales Manager,1,
,,,,,,,,,,,,,,,4f7dcdbcc6,Resent for Secondary Master Processing,Approve Customer,Secondary Customer Approved,Secondary Customer Master Approver,1,doc.db_code
New Lead Workflow,Lead,workflow_state,1,0,0,92f1a1dfd6,Pending with Customer Support Team,Customer Support Team,0,,,0,,,207583ed7d,Pending with Customer Support Team,Create Primary Customer,Pending For Primary Customer Additional Details,Customer Support Team,1,"(doc.customer_type == ""Direct Distributor"" or doc.customer_type == ""Super Stockist"") and doc.asm_user"
,,,,,,071f0b8a4d,Pending For Primary Customer Additional Details,Customer Support Team,0,,,0,,,5b18e0e485,Pending with Customer Support Team,Create Secondary Customer,Pending For Secondary Customer Additional Details,Customer Support Team,1,"doc.customer_type == ""Indirect Distributor"" and doc.asm_user"
,,,,,,ba5698a67c,Pending For Secondary Customer Additional Details,Customer Support Team,0,,,0,,,a0f7137b8c,Pending with Customer Support Team,Reject,Lead Rejected,Customer Support Team,1,doc.reason_for_rejection
,,,,,,59616491f8,Lead Rejected,Customer Support Team,0,,,0,,,b1050670d2,Pending For Primary Customer Additional Details,Close,Lead Closed,Customer Support Team,1,
,,,,,,f986c860bb,Lead Closed,Customer Support Team,0,,,0,,,8d5545a802,Pending For Secondary Customer Additional Details,Close,Lead Closed,Customer Support Team,1,
